ID,ds,y
9936,2012-01-12,59.5
9937,2012-01-13,59.540001
9938,2012-01-17,59.849998
9939,2012-01-18,60.009998
9940,2012-01-19,60.610001
9941,2012-01-20,61.009998
9942,2012-01-23,60.91
9943,2012-01-24,61.389999
9944,2012-01-25,61.470001
9945,2012-01-26,60.970001
9946,2012-01-27,60.709999
9947,2012-01-30,61.299999
9948,2012-01-31,61.360001
9949,2012-02-01,62.18
9950,2012-02-02,61.939999
9951,2012-02-03,62.029999
9952,2012-02-06,61.880001
9953,2012-02-07,61.689999
9954,2012-02-08,61.619999
9955,2012-02-09,61.959999
9956,2012-02-10,61.900002
9957,2012-02-13,61.790001
9958,2012-02-14,62.220001
9959,2012-02-15,61.759998
9960,2012-02-16,62.040001
9961,2012-02-17,62.48
9962,2012-02-21,60.07
9963,2012-02-22,58.599998
9964,2012-02-23,58.540001
9965,2012-02-24,58.790001
9966,2012-02-27,58.459999
9967,2012-02-28,58.93
9968,2012-02-29,59.080002
9969,2012-03-01,58.82
9970,2012-03-02,59.009998
9971,2012-03-05,59.400002
9972,2012-03-06,58.970001
9973,2012-03-07,59.860001
9974,2012-03-08,59.77
9975,2012-03-09,60.080002
9976,2012-03-12,60.68
9977,2012-03-13,61.0
9978,2012-03-14,61.080002
9979,2012-03-15,61.23
9980,2012-03-16,60.84
9981,2012-03-19,60.740002
9982,2012-03-20,60.599998
9983,2012-03-21,60.560001
9984,2012-03-22,60.650002
9985,2012-03-23,60.75
9986,2012-03-26,61.200001
9987,2012-03-27,61.09
9988,2012-03-28,61.189999
9989,2012-03-29,60.82
9990,2012-03-30,61.200001
9991,2012-04-02,61.360001
9992,2012-04-03,60.650002
9993,2012-04-04,60.259998
9994,2012-04-05,60.669998
9995,2012-04-09,60.130001
9996,2012-04-10,59.93
9997,2012-04-11,59.799999
9998,2012-04-12,60.139999
9999,2012-04-13,59.77
10000,2012-04-16,60.580002
10001,2012-04-17,61.869999
10002,2012-04-18,62.060001
10003,2012-04-19,61.75
10004,2012-04-20,62.450001
10005,2012-04-23,59.540001
10006,2012-04-24,57.77
10007,2012-04-25,57.360001
10008,2012-04-26,58.950001
10009,2012-04-27,59.029999
10010,2012-04-30,58.91
10011,2012-05-01,59.07
10012,2012-05-02,59.009998
10013,2012-05-03,58.990002
10014,2012-05-04,58.700001
10015,2012-05-07,59.189999
10016,2012-05-08,59.049999
10017,2012-05-09,59.029999
10018,2012-05-10,59.189999
10019,2012-05-11,59.419998
10020,2012-05-14,59.07
10021,2012-05-15,59.349998
10022,2012-05-16,59.189999
10023,2012-05-17,61.68
10024,2012-05-18,62.43
10025,2012-05-21,63.040001
10026,2012-05-22,63.73
10027,2012-05-23,64.580002
10028,2012-05-24,65.07
10029,2012-05-25,65.309998
10030,2012-05-29,65.68
10031,2012-05-30,65.440002
10032,2012-05-31,65.82
10033,2012-06-01,65.550003
10034,2012-06-04,65.989998
10035,2012-06-05,65.5
10036,2012-06-06,65.93
10037,2012-06-07,65.870003
10038,2012-06-08,68.220001
10039,2012-06-11,67.529999
10040,2012-06-12,67.720001
10041,2012-06-13,67.07
10042,2012-06-14,67.629997
10043,2012-06-15,67.75
10044,2012-06-18,68.120003
10045,2012-06-19,67.809998
10046,2012-06-20,68.519997
10047,2012-06-21,67.699997
10048,2012-06-22,67.300003
10049,2012-06-25,68.18
10050,2012-06-26,68.580002
10051,2012-06-27,68.589996
10052,2012-06-28,68.300003
10053,2012-06-29,69.720001
10054,2012-07-02,69.349998
10055,2012-07-03,70.75
10056,2012-07-05,71.080002
10057,2012-07-06,71.360001
10058,2012-07-09,71.760002
10059,2012-07-10,72.110001
10060,2012-07-11,72.260002
10061,2012-07-12,72.309998
10062,2012-07-13,73.18
10063,2012-07-16,72.980003
10064,2012-07-17,73.099998
10065,2012-07-18,72.849998
10066,2012-07-19,71.529999
10067,2012-07-20,72.25
10068,2012-07-23,71.849998
10069,2012-07-24,72.139999
10070,2012-07-25,72.080002
10071,2012-07-26,73.669998
10072,2012-07-27,74.519997
10073,2012-07-30,74.980003
10074,2012-07-31,74.43
10075,2012-08-01,73.620003
10076,2012-08-02,74.050003
10077,2012-08-03,74.550003
10078,2012-08-06,74.279999
10079,2012-08-07,73.989998
10080,2012-08-08,74.309998
10081,2012-08-09,73.849998
10082,2012-08-10,73.68
10083,2012-08-13,73.400002
10084,2012-08-14,74.010002
10085,2012-08-15,74.449997
10086,2012-08-16,72.150002
10087,2012-08-17,71.989998
10088,2012-08-20,72.300003
10089,2012-08-21,71.43
10090,2012-08-22,71.769997
10091,2012-08-23,71.559998
10092,2012-08-24,72.110001
10093,2012-08-27,72.5
10094,2012-08-28,72.410004
10095,2012-08-29,72.769997
10096,2012-08-30,72.25
10097,2012-08-31,72.599998
10098,2012-09-04,73.510002
10099,2012-09-05,73.550003
10100,2012-09-06,74.809998
10101,2012-09-07,73.82
10102,2012-09-10,73.510002
10103,2012-09-11,74.059998
10104,2012-09-12,74.07
10105,2012-09-13,75.139999
10106,2012-09-14,74.5
10107,2012-09-17,73.989998
10108,2012-09-18,73.949997
10109,2012-09-19,74.370003
10110,2012-09-20,74.75
10111,2012-09-21,74.449997
10112,2012-09-24,74.739998
10113,2012-09-25,74.260002
10114,2012-09-26,74.190002
10115,2012-09-27,73.980003
10116,2012-09-28,73.800003
10117,2012-10-01,74.050003
10118,2012-10-02,73.75
10119,2012-10-03,74.199997
10120,2012-10-04,74.720001
10121,2012-10-05,75.129997
10122,2012-10-08,75.25
10123,2012-10-09,74.139999
10124,2012-10-10,75.419998
10125,2012-10-11,75.010002
10126,2012-10-12,75.809998
10127,2012-10-15,77.150002
10128,2012-10-16,76.910004
10129,2012-10-17,77.029999
10130,2012-10-18,76.559998
10131,2012-10-19,75.620003
10132,2012-10-22,75.650002
10133,2012-10-23,74.760002
10134,2012-10-24,74.82
10135,2012-10-25,75.32
10136,2012-10-26,75.110001
10137,2012-10-31,75.019997
10138,2012-11-01,73.449997
10139,2012-11-02,72.769997
10140,2012-11-05,73.139999
10141,2012-11-06,73.760002
10142,2012-11-07,73.110001
10143,2012-11-08,72.480003
10144,2012-11-09,72.309998
10145,2012-11-12,72.480003
10146,2012-11-13,71.809998
10147,2012-11-14,71.309998
10148,2012-11-15,68.720001
10149,2012-11-16,68.029999
10150,2012-11-19,69.019997
10151,2012-11-20,69.0
10152,2012-11-21,68.889999
10153,2012-11-23,70.199997
10154,2012-11-26,69.910004
10155,2012-11-27,69.5
10156,2012-11-28,70.559998
10157,2012-11-29,70.830002
10158,2012-11-30,72.019997
10159,2012-12-03,71.339996
10160,2012-12-04,72.120003
10161,2012-12-05,71.650002
10162,2012-12-06,71.589996
10163,2012-12-07,72.290001
10164,2012-12-10,72.150002
10165,2012-12-11,70.889999
10166,2012-12-12,68.940002
10167,2012-12-13,69.040001
10168,2012-12-14,68.75
10169,2012-12-17,69.199997
10170,2012-12-18,69.5
10171,2012-12-19,68.519997
10172,2012-12-20,69.0
10173,2012-12-21,68.650002
10174,2012-12-24,68.57
10175,2012-12-26,67.989998
10176,2012-12-27,68.190002
10177,2012-12-28,67.610001
10178,2012-12-31,68.230003
10179,2013-01-02,69.239998
10180,2013-01-03,68.800003
10181,2013-01-04,69.059998
10182,2013-01-07,68.400002
10183,2013-01-08,68.589996
10184,2013-01-09,68.57
10185,2013-01-10,68.360001
10186,2013-01-11,68.629997
10187,2013-01-14,68.300003
10188,2013-01-15,68.980003
10189,2013-01-16,69.209999
10190,2013-01-17,68.849998
10191,2013-01-18,69.199997
10192,2013-01-22,69.580002
10193,2013-01-23,69.489998
10194,2013-01-24,69.790001
10195,2013-01-25,69.0
10196,2013-01-28,69.349998
10197,2013-01-29,69.889999
10198,2013-01-30,69.75
10199,2013-01-31,69.949997
10200,2013-02-01,70.489998
10201,2013-02-04,69.629997
10202,2013-02-05,70.769997
10203,2013-02-06,71.309998
10204,2013-02-07,71.230003
10205,2013-02-08,71.480003
10206,2013-02-11,71.400002
10207,2013-02-12,71.400002
10208,2013-02-13,71.389999
10209,2013-02-14,70.82
10210,2013-02-15,69.300003
10211,2013-02-19,68.760002
10212,2013-02-20,69.209999
10213,2013-02-21,70.260002
10214,2013-02-22,70.400002
10215,2013-02-25,70.440002
10216,2013-02-26,71.110001
10217,2013-02-27,71.660004
10218,2013-02-28,70.779999
10219,2013-03-01,71.739998
10220,2013-03-04,73.260002
10221,2013-03-05,73.720001
10222,2013-03-06,73.379997
10223,2013-03-07,73.32
10224,2013-03-08,73.029999
10225,2013-03-11,72.980003
10226,2013-03-12,73.599998
10227,2013-03-13,73.650002
10228,2013-03-14,73.220001
10229,2013-03-15,72.5
10230,2013-03-18,72.25
10231,2013-03-19,72.449997
10232,2013-03-20,72.989998
10233,2013-03-21,73.129997
10234,2013-03-22,74.279999
10235,2013-03-25,74.849998
10236,2013-03-26,74.769997
10237,2013-03-27,74.779999
10238,2013-03-28,74.830002
10239,2013-04-01,75.43
10240,2013-04-02,76.019997
10241,2013-04-03,76.0
10242,2013-04-04,76.199997
10243,2013-04-05,76.389999
10244,2013-04-08,77.290001
10245,2013-04-09,78.120003
10246,2013-04-10,77.370003
10247,2013-04-11,77.790001
10248,2013-04-12,78.559998
10249,2013-04-15,78.470001
10250,2013-04-16,78.68
10251,2013-04-17,78.510002
10252,2013-04-18,77.160004
10253,2013-04-19,78.290001
10254,2013-04-22,77.970001
10255,2013-04-23,79.089996
10256,2013-04-24,78.029999
10257,2013-04-25,78.650002
10258,2013-04-26,79.040001
10259,2013-04-29,78.389999
10260,2013-04-30,77.720001
10261,2013-05-01,78.059998
10262,2013-05-02,78.459999
10263,2013-05-03,79.25
10264,2013-05-06,78.830002
10265,2013-05-07,78.830002
10266,2013-05-08,78.25
10267,2013-05-09,78.400002
10268,2013-05-10,78.889999
10269,2013-05-13,78.5
10270,2013-05-14,78.779999
10271,2013-05-15,79.860001
10272,2013-05-16,78.5
10273,2013-05-17,77.870003
10274,2013-05-20,77.400002
10275,2013-05-21,77.389999
10276,2013-05-22,77.029999
10277,2013-05-23,76.330002
10278,2013-05-24,77.309998
10279,2013-05-28,77.32
10280,2013-05-29,76.230003
10281,2013-05-30,75.629997
10282,2013-05-31,74.839996
10283,2013-06-03,75.690002
10284,2013-06-04,75.940002
10285,2013-06-05,75.25
10286,2013-06-06,75.629997
10287,2013-06-07,76.330002
10288,2013-06-10,75.75
10289,2013-06-11,75.25
10290,2013-06-12,74.839996
10291,2013-06-13,75.0
10292,2013-06-14,74.870003
10293,2013-06-17,74.949997
10294,2013-06-18,75.730003
10295,2013-06-19,74.459999
10296,2013-06-20,73.029999
10297,2013-06-21,73.510002
10298,2013-06-24,74.199997
10299,2013-06-25,74.370003
10300,2013-06-26,75.010002
10301,2013-06-27,75.260002
10302,2013-06-28,74.489998
10303,2013-07-01,74.589996
10304,2013-07-02,74.709999
10305,2013-07-03,74.760002
10306,2013-07-05,75.209999
10307,2013-07-08,76.709999
10308,2013-07-09,77.029999
10309,2013-07-10,76.769997
10310,2013-07-11,77.629997
10311,2013-07-12,77.629997
10312,2013-07-15,77.029999
10313,2013-07-16,77.370003
10314,2013-07-17,77.199997
10315,2013-07-18,77.339996
10316,2013-07-19,78.080002
10317,2013-07-22,77.870003
10318,2013-07-23,78.550003
10319,2013-07-24,78.230003
10320,2013-07-25,78.010002
10321,2013-07-26,78.0
10322,2013-07-29,77.989998
10323,2013-07-30,77.889999
10324,2013-07-31,77.940002
10325,2013-08-01,78.220001
10326,2013-08-02,78.75
10327,2013-08-05,78.769997
10328,2013-08-06,77.870003
10329,2013-08-07,77.370003
10330,2013-08-08,77.25
10331,2013-08-09,76.900002
10332,2013-08-12,77.080002
10333,2013-08-13,76.860001
10334,2013-08-14,76.400002
10335,2013-08-15,74.410004
10336,2013-08-16,74.110001
10337,2013-08-19,73.580002
10338,2013-08-20,73.230003
10339,2013-08-21,73.550003
10340,2013-08-22,73.459999
10341,2013-08-23,73.440002
10342,2013-08-26,73.029999
10343,2013-08-27,72.860001
10344,2013-08-28,72.379997
10345,2013-08-29,72.43
10346,2013-08-30,72.980003
10347,2013-09-03,72.68
10348,2013-09-04,72.910004
10349,2013-09-05,72.669998
10350,2013-09-06,72.589996
10351,2013-09-09,73.510002
10352,2013-09-10,73.959999
10353,2013-09-11,74.050003
10354,2013-09-12,73.910004
10355,2013-09-13,74.360001
10356,2013-09-16,74.779999
10357,2013-09-17,75.150002
10358,2013-09-18,76.419998
10359,2013-09-19,76.209999
10360,2013-09-20,75.830002
10361,2013-09-23,76.419998
10362,2013-09-24,75.75
10363,2013-09-25,74.650002
10364,2013-09-26,74.620003
10365,2013-09-27,74.360001
10366,2013-09-30,73.959999
10367,2013-10-01,73.589996
10368,2013-10-02,73.720001
10369,2013-10-03,73.160004
