Date,score,num_comments,Open,High,Low,Close,Adj_Close,Volume,High_Low_pct,ewm_5,price_std_5,volume_Change,volume_avg_5,volume_Close
2020-11-16,2290,70,150.529999,153.399994,149.279999,152,151,11520100,0.20467760507462218,147.11229295313768,2.701851217221223,0.7509347356901845,6500400.0,1870818.0256240852
2020-11-17,1245,86,150.5,153.240005,149.179993,149,148,14237200,-0.014558998251208655,148.7415286354251,2.7018512172212037,0.23585732762736433,6924520.0,2733727.251757205
2020-11-18,2267,141,149.860001,151.669998,149.050003,149,148,8312300,-0.3546829418238201,148.82768575695007,1.9235384061670329,-0.41615626668165084,8558680.0,4161717.8865223434
2020-11-19,2086,83,149.46000700000002,152.449997,149.320007,152,151,6196900,0.1946549516315892,148.88512383796672,1.5165750888101663,-0.25449033360201145,8967420.0,3976822.7842085194
2020-11-20,818,26,151.169998,152.759995,149.809998,150,149,7312400,-0.05750593452375141,149.9234158919778,1.5165750888101364,0.18000935951846886,9369180.0,3438288.2277377504
2020-11-23,1473,64,150.369995,151.399994,149.369995,150,150,6185700,-0.3118640459634344,149.9489439279852,1.5165750888101364,-0.15408073956566926,9515780.0,3302548.9196982384
2020-11-24,1367,67,151.740005,151.979996,150.270004,151,150,5718400,-0.15763899391083613,149.9659626186568,1.2247448713914015,-0.07554520911133744,8448900.0,3354410.7880520537
2020-11-25,2067,143,151.25,152.389999,151.21000700000002,151,151,4611100,-0.30994297049344655,150.3106417457712,1.1401754250989167,-0.19363808058198095,6745140.0,1054218.8591559154
2020-11-27,860,80,152.149994,152.720001,151.100006,151,151,3666500,0.3728864263486784,150.54042783051412,0.8366600265337332,-0.20485350567109806,6004900.0,975175.5713716376
2020-11-30,1726,105,151.600006,152.949997,150.100006,152,152,10898500,0.7592591335158494,150.6936185536761,0.5477225575046742,1.9724532933315149,5498820.0,1410189.2876490022
2020-12-01,1839,123,153.600006,153.66000400000001,151.66000400000001,152,152,7647100,-0.2982433979616048,151.12907903578406,0.7071067811861023,-0.2983346332064045,6216040.0,2795084.2720748154
2020-12-02,737,34,152.0,152.619995,149.529999,150,149,7849000,0.5449979999999925,151.41938602385605,0.5477225575045083,0.02640216552680097,6508320.0,2866612.0494409422
2020-12-03,971,15,150.279999,150.279999,148.389999,149,148,8575300,-0.38834872278151045,150.94625734923736,0.8366600265336721,0.09253408077462089,6934440.0,2878168.538845493
2020-12-04,1642,178,149.509995,149.509995,147.580002,148,148,6963100,0.021160317460307443,150.29750489949157,1.3038404810403057,-0.18800508437022612,7727280.0,2611845.75578268
